wall_time,gain,lux_est,raw_R,raw_G,raw_B,raw_IR,raw_CLR1,raw_CLR2,cal_R,cal_G,cal_B,cal_IR,cal_CLR1,cal_CLR2
1779232429.502790,33.0,231.6901336710362,754813.88,837844.81,156549.42,7552048.5,928558.19,6969729.5,793.7816396833509,749.4269862343846,523.6727631782334,2930.1010883404433,189.14994939889755,1412.9670762445498
1779232429.629930,33.0,231.28349471177208,754210.31,836374.31,156082.27,7567121.5,928539.0,6984723.5,793.146909987782,748.1116682063864,522.1101018070273,2935.949225267074,189.14604034121217,1416.0067965581159
1779232429.757276,33.0,231.33472209511356,752896.94,836559.56,156298.08,7551219.0,927848.12,6969018.5,791.7657364034925,748.2773687604066,522.8320068707541,2929.779252635498,189.0053061164236,1412.8229358455271
1779232429.885908,33.0,231.07773899328848,753883.69,835630.25,156268.45,7563133.5,929064.94,6980988.0,792.8034280168973,747.4461289123284,522.7328916905576,2934.4019307627677,189.2531758179741,1415.2495019581875
1779232430.013751,33.0,230.82236253706242,753879.75,834706.75,155697.19,7556619.5,928821.19,6974960.0,792.7992846118234,746.6200859345275,520.8219724249786,2931.8745796090448,189.203523248364,1414.0274508677396
1779232430.141491,33.0,231.0329934985598,753677.19,835468.44,156083.95,7559189.5,928611.81,6976369.0,792.5862673194886,747.3013947334026,522.1157215674975,2932.871707712371,189.16087194569755,1414.3130961873217
1779232430.269108,33.0,231.5559469624453,754280.81,837359.56,156155.89,7574114.0,930196.81,6990851.0,793.2210495963404,748.9929447021941,522.3563677390581,2938.6622284820587,189.4837409624441,1417.2490191952625
1779232430.396451,33.0,231.77309299628558,755056.12,838144.81,156368.31,7571295.0,929894.38,6988011.0,794.036385481609,749.6953272125548,523.0669329289791,2937.56849146911,189.42213510961466,1416.673268515622
1779232430.523701,33.0,231.525304553009,754480.31,837248.75,156459.72,7581514.5,929878.19,6998401.0,793.430848914176,748.8938284895572,523.3727081102741,2941.5335306332913,189.4188371604783,1418.7796239950105
1779232430.651006,33.0,231.18698536339858,753021.0,836025.31,155847.84,7559458.5,927948.25,6977139.0,791.8962010820424,747.7994982017817,521.3259110647564,2932.97607637377,189.02570288276232,1414.4691976039846
1779232430.778847,33.0,230.89284201448345,752916.75,834961.62,156099.19,7540996.0,926240.88,6960518.5,791.7865691076847,746.8480594848817,522.1667008231908,2925.812855514756,188.67790674830013,1411.099738388857
1779232430.906516,33.0,231.53263262673934,754163.62,837275.25,156282.84,7614219.0,932171.19,7028663.5,793.0978095860288,748.9175319426289,522.7810276150607,2954.2224707326072,189.88592779479993,1424.9147137635375
1779232431.033431,33.0,231.50254327947135,753374.44,837166.44,155765.75,7554195.0,928866.69,6972212.5,792.2678876529486,748.8202046698465,521.0513121736886,2930.933903699895,189.21279172802457,1413.47045263101
1779232431.160563,33.0,231.46539962424637,754377.06,837032.12,155955.31,7580598.5,930607.44,6997050.0,793.3222685654716,748.7000594692205,521.6854084800696,2941.178134001911,189.56738746360915,1418.5057369639565
1779232431.288599,33.0,231.62100089999504,755604.12,837594.81,156519.81,7586642.5,930632.75,7002157.0,794.6126763396236,749.203368752576,523.5737148999472,2943.523130988878,189.57254318273462,1419.5410745417462
1779232431.415190,33.0,231.6920362048952,755326.12,837851.69,155846.14,7564565.5,928267.88,6981784.0,794.320324408003,749.4331401874839,521.320224402376,2934.9575289899913,189.09081242460627,1415.4108743317768
1779232431.541412,33.0,231.6969086825982,755184.19,837869.31,156408.94,7562624.5,928575.38,6980544.0,794.1710671790286,749.4489007476018,523.202844159873,2934.2044450800468,189.1534510508836,1415.1594902322156
1779232431.670138,33.0,231.62425014023395,755229.88,837606.56,156826.17,7624044.5,933342.5,7037690.0,794.2191159551284,749.213878774221,524.5985183628235,2958.0346427867844,190.1245269796614,1426.744648097965
1779232431.796935,33.0,231.64784377233488,754008.81,837691.88,156048.41,7562326.5,928648.19,6979709.0,792.9350074186398,749.2901949484126,521.9968368727898,2934.0888247785715,189.16828265536898,1414.9902114232368
1779232431.924788,33.0,231.62181390138247,755033.31,837597.75,155562.62,7556767.0,927510.31,6974116.5,794.012397900457,749.205998494162,520.3718229211294,2931.9318077783987,188.93649325677242,1413.8564488613042
1779232432.052154,33.0,231.5578329044393,756812.25,837366.38,156411.48,7586929.5,930952.38,7003424.0,795.8831768401584,748.9990449870978,523.2113407024887,2943.634483426876,189.6376527245786,1419.7979323273464
1779232432.179567,33.0,231.5402206396888,755561.44,837302.69,156023.88,7596010.5,931028.25,7012567.5,794.5677929567402,748.9420761974322,521.9147816797348,2947.1577987211595,189.65310765978398,1421.651585967942
1779232432.306735,33.0,231.92734480034346,754771.19,838702.62,155548.25,7559579.0,928793.88,6977172.5,793.736745784211,750.1942714826654,520.3237538985366,2933.0228288782255,189.19796012353922,1414.475989029255
1779232432.434764,33.0,231.6204671950026,753334.75,837592.88,156432.64,7569806.0,929073.06,6987105.0,792.2261486307688,749.2016424256163,523.2821229236482,2936.990777949323,189.25482988511354,1416.4895959396524
1779232432.562055,33.0,231.18345959207548,754078.25,836012.56,155323.12,7550164.0,928046.38,6968063.0,793.0080323040056,747.7880937102094,519.5706725445825,2929.3699257292687,189.04569224340165,1412.629228178486
1779232432.688002,33.0,231.2211369522929,752959.44,836148.81,155406.06,7544340.5,928113.12,6963119.0,791.8314630068245,747.9099652377951,519.8481147668406,2927.1104800056414,189.05928737158945,1411.626935446042
1779232432.815445,33.0,231.50307974977468,753128.25,837168.38,155841.06,7566446.0,929458.44,6983559.0,792.00898793336,748.8219399415054,521.3032313171448,2935.6871396508104,189.3333328893241,1415.7707185065522
1779232432.942455,33.0,231.3491017114901,753564.06,836611.56,156010.33,7595490.5,932258.19,7012087.5,792.4672969093295,748.3238811966228,521.8694556354666,2946.956045174961,189.9036499427223,1421.5542759939183
1779232433.070622,33.0,230.90314556267944,753745.69,834998.88,156546.05,7581079.0,931174.88,6997528.5,792.6583036767404,746.8813874343705,523.6614902063378,2941.36456203835,189.6829766086329,1418.6027428443113
1779232433.197456,33.0,231.39220737688967,755102.75,836767.44,156111.89,7624630.5,932371.5,7039792.5,794.085422785823,748.46331116888,522.2091835362687,2958.262003513846,189.92673151261982,1427.1708860571002
1779232433.324653,33.0,231.345575940167,754632.25,836598.81,156270.98,7568631.5,928576.38,6986533.0,793.59063291594,748.3124767050506,522.741354782218,2936.5350865262267,189.1536547537333,1416.373634887274
1779232433.452323,33.0,231.24201504914737,753493.56,836224.31,156103.42,7570898.5,929858.94,6988695.0,792.3931573007711,747.9774977173013,522.1808505772318,2937.414654390134,189.4149158806219,1416.811935228606
1779232433.580540,33.0,231.18237005960384,755039.25,836008.62,156155.05,7605450.5,933103.81,7020545.0,794.0186445568377,747.7845694986961,522.353557858823,2950.8204015598376,190.07590514647072,1423.268857463305
1779232433.708255,33.0,231.69447244374672,754121.94,837860.5,156042.48,7551356.5,928502.56,6969593.5,793.0539778287987,749.4410204675429,521.9770004563685,2929.832600928964,189.13861740936974,1412.9395050852431
1779232433.836230,33.0,231.51744000897537,754051.5,837220.31,155848.69,7555101.5,928294.19,6973100.0,792.9799013177795,748.8683897648267,521.3287543959467,2931.2856144491807,189.09617184658143,1413.6503747183976
1779232433.963562,33.0,231.4480500640259,754420.75,836969.38,155829.22,7577141.5,929445.25,6993936.5,793.3682140902647,748.6439404259858,521.2636253862124,2939.836860907281,189.3306460487368,1417.8745398720337
1779232434.090873,33.0,231.20622363092392,754590.5,836094.88,156122.05,7563827.0,929418.94,6981869.0,793.5467275449142,747.8617264746193,522.2431697067309,2934.6710001556307,189.32528662676165,1415.4281063063436
1779232434.217789,33.0,231.43828298613323,753870.81,836934.06,155655.72,7551022.0,927584.12,6968764.5,792.7898830784828,748.6123477481559,520.6832513138496,2929.702819080496,188.95152856410746,1412.7714426509397
1779232434.348126,33.0,231.33581162758517,753269.19,836563.5,155833.45,7553186.5,931365.06,7002004.0,792.1572040529376,748.2808929719199,521.2777751402533,2930.5426182165465,189.7217168165855,1419.5100569875262
1779232434.475386,33.0,231.65517184606526,754614.38,837718.38,156490.19,7600437.0,932565.69,7015668.0,793.5718403655153,749.3138984014843,523.4746331707057,2948.875225783173,189.96628856899963,1422.2801475814015
1779232434.603051,33.0,231.62371366993068,754262.94,837604.62,155901.16,7578763.0,930319.19,6995374.0,793.2022570459156,749.2121435025621,521.504271557773,2940.46598278259,189.5086701171882,1418.1659629713236
1779232434.730490,33.0,231.40223162869063,754969.75,836803.69,156561.28,7589368.0,929949.0,7005708.5,793.9455565739325,748.4957357037423,523.7124360110761,2944.5805911622697,189.4332613592643,1420.2610669849655
1779232434.857998,33.0,231.4588845519035,754318.5,837008.56,156132.2,7580857.5,930359.62,6996820.0,793.2606853672137,748.6789857577348,522.2771224262381,2941.278622787421,189.51690582340086,1418.45910926807
1779232434.983244,33.0,231.4681151594929,754741.44,837041.94,156078.03,7602405.0,931310.44,7017202.5,793.705459921025,748.7088431639058,522.0959186020312,2949.638785358016,189.71059056693585,1422.5912354046086
1779232435.112353,33.0,231.22086042120878,753825.12,836147.81,156069.56,7554195.0,928309.38,6972212.5,792.7418343023829,747.9090707678679,522.0675856429942,2930.933903699895,189.0992660928681,1413.47045263101
1779232435.240060,33.0,231.65814178990917,756242.44,837729.12,157253.56,7629329.0,934207.31,7042051.5,795.2839500266451,749.3235050085028,526.0281787362362,2960.084963200025,190.30069124109522,1427.6288511223493
1779232435.367542,33.0,231.2780691719007,754692.75,836354.69,156397.09,7584815.5,930370.75,7000993.5,793.6542562679654,748.0941187064141,523.1632047779854,2942.814277664062,189.51917303611782,1419.305199219295
1779232435.494018,33.0,231.59253755550193,755481.0,837491.88,156613.75,7611626.0,931695.81,7025225.0,794.4832001891879,749.1113009629657,523.8879531729025,2953.2164189147375,189.78909153411797,1424.2176297100364
1779232435.621340,33.0,231.0536116561951,753258.25,835543.0,155855.45,7555368.5,928466.12,6973347.5,792.1456992682904,747.3680864111773,521.351367241648,2931.389207135402,189.13119447752732,1413.7005501737535
1779232435.749148,33.0,231.2227629550678,754170.62,836154.69,156182.97,7558432.0,928249.69,6975607.5,793.1051709656019,747.9152247209671,522.446952925684,2932.5778071138225,189.08710706977055,1414.1587179681153
1779232435.876330,33.0,231.48544812784834,753262.25,837104.62,156057.72,7560890.5,928861.62,6977872.5,792.1499057709037,748.764908538945,522.0279797120619,2933.531674600993,189.21175895457668,1414.6178994080396
1779232436.003675,33.0,231.44505799769527,753975.06,836958.56,156084.8,7563670.5,928713.94,6981707.5,792.8995150528405,748.6342622613731,522.1185648986876,2934.6102800979766,189.18167611773558,1415.3953655546668
