wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232302.059911,0,1,14,0.00,0.00,742334.25,825774.88,153880.17,7417129.00,912560.56,6845714.00,33.00,33.00,33.00,33.00,33.00,33.00,52314428170
1779232302.187328,0,1,14,0.00,0.00,741606.56,825837.62,154103.59,7394170.50,910231.12,6824022.00,33.00,33.00,33.00,33.00,33.00,33.00,52442033004
1779232302.314574,0,1,14,0.06,0.00,742631.06,826555.25,153903.86,7399540.50,910980.62,6830004.50,33.00,33.00,33.00,33.00,33.00,33.00,52569399719
1779232302.441875,0,1,14,1997.05,0.00,741911.31,827254.19,153420.62,7412695.50,911717.00,6842113.00,33.00,33.00,33.00,33.00,33.00,33.00,52696818070
1779232302.569896,0,1,14,76184792.00,0.00,742326.31,826875.81,153994.42,7408291.00,912051.81,6837076.50,33.00,33.00,33.00,33.00,33.00,33.00,52824199067
1779232302.696324,0,1,14,3079345274880.00,0.00,744351.44,828196.31,154625.77,7491200.00,919408.31,6915569.50,33.00,33.00,33.00,33.00,33.00,33.00,52952251858
1779232302.824425,0,1,14,120341770998382592.00,0.00,744877.62,826039.56,154025.73,7460618.00,917083.94,6886908.50,33.00,33.00,33.00,33.00,33.00,33.00,53080343834
1779232302.952272,0,1,14,4316115900782969094144.00,0.00,743821.31,826141.50,154497.12,7449937.50,916020.88,6876476.00,33.00,33.00,33.00,33.00,33.00,33.00,53207497252
1779232303.080982,0,1,14,155790778036149227052072960.00,0.00,743435.19,827494.38,153934.33,7422931.00,912705.19,6851625.50,33.00,33.00,33.00,33.00,33.00,33.00,53334826491
1779232303.207687,0,1,14,6218863718436374881391645556736.00,0.00,744567.88,826907.19,154576.69,7443734.00,916242.38,6872773.00,33.00,33.00,33.00,33.00,33.00,33.00,53462498423
1779232303.335462,0,1,14,238928785642120162768622857134014464.00,0.00,744503.38,828608.06,153799.77,7435328.50,915217.75,6862569.00,33.00,33.00,33.00,33.00,33.00,33.00,53590102117
1779232303.462601,0,1,14,-0.00,0.00,744993.75,827409.12,154572.45,7447989.00,915991.50,6875702.00,33.00,33.00,33.00,33.00,33.00,33.00,53717531292
1779232303.590024,0,1,14,-0.00,0.00,743996.06,827022.88,154562.30,7427322.50,914656.38,6856618.00,33.00,33.00,33.00,33.00,33.00,33.00,53844881080
1779232303.716596,0,1,14,-0.00,0.00,744060.56,827844.38,154414.19,7450866.00,917037.38,6877392.00,33.00,33.00,33.00,33.00,33.00,33.00,53972216830
1779232303.843172,0,1,14,-0.00,0.00,745580.50,827393.44,154107.83,7453878.50,916621.69,6881121.00,33.00,33.00,33.00,33.00,33.00,33.00,54099510628
1779232303.970471,0,1,14,-0.00,0.00,744750.56,827645.38,154244.92,7458886.00,917711.06,6885802.00,33.00,33.00,33.00,33.00,33.00,33.00,54226811669
1779232304.098509,0,1,14,-0.00,0.00,743949.38,827120.88,154142.52,7441193.00,915570.75,6867989.50,33.00,33.00,33.00,33.00,33.00,33.00,54353835285
1779232304.226604,0,1,14,-0.00,0.00,744129.06,827399.31,154667.23,7455836.50,917038.38,6883203.00,33.00,33.00,33.00,33.00,33.00,33.00,54481179784
1779232304.354340,0,1,14,-0.00,0.00,745181.38,827556.12,154188.22,7480507.50,918682.06,6904958.50,33.00,33.00,33.00,33.00,33.00,33.00,54608599844
1779232304.480023,0,1,14,-0.26,0.00,744542.06,829030.56,154585.14,7441535.50,916286.88,6868987.00,33.00,33.00,33.00,33.00,33.00,33.00,54735942918
1779232304.607398,0,1,14,-9895.86,0.00,744286.94,828022.81,153733.75,7441048.50,915019.50,6869287.50,33.00,33.00,33.00,33.00,33.00,33.00,54863241070
1779232304.735385,0,1,14,-381229632.00,0.00,743837.25,828911.00,154530.14,7441363.50,916224.19,6868182.00,33.00,33.00,33.00,33.00,33.00,33.00,54990850258
1779232304.862087,0,1,14,-14155147902976.00,0.00,743794.56,828895.31,154364.25,7448403.50,915929.81,6875844.00,33.00,33.00,33.00,33.00,33.00,33.00,55118265353
1779232304.989641,0,1,14,-512612764913500160.00,0.00,745330.31,828211.00,154497.12,7456937.00,916995.94,6882953.00,33.00,33.00,33.00,33.00,33.00,33.00,55245514067
1779232305.116102,0,1,14,-18473360347507311247360.00,0.00,743997.06,828419.81,154043.50,7434886.00,915979.38,6862095.00,33.00,33.00,33.00,33.00,33.00,33.00,55372831832
1779232305.242617,0,1,14,-629013755281990924437028864.00,0.00,745308.44,828419.81,154550.44,7464418.50,917769.69,6890350.00,33.00,33.00,33.00,33.00,33.00,33.00,55499166646
1779232305.372653,0,1,14,-22875990700020111270194893029376.00,0.00,744765.44,827763.00,154536.91,7472203.50,918571.81,6896986.00,33.00,33.00,33.00,33.00,33.00,33.00,55625932328
1779232305.499636,0,1,14,-938157231017369502691710966614196224.00,0.00,746016.25,828738.44,154544.52,7455746.00,917522.88,6882103.50,33.00,33.00,33.00,33.00,33.00,33.00,55754141369
1779232305.625803,0,1,14,0.00,0.00,744667.12,828816.88,154481.89,7461323.50,917589.69,6888000.50,33.00,33.00,33.00,33.00,33.00,33.00,55881502102
1779232305.754432,0,1,14,0.00,0.00,744520.25,829177.62,154481.05,7454744.50,917139.56,6880429.50,33.00,33.00,33.00,33.00,33.00,33.00,56010117434
1779232305.881016,0,1,14,0.00,0.00,744249.19,827737.50,154631.69,7458804.50,917361.06,6885211.00,33.00,33.00,33.00,33.00,33.00,33.00,56137477558
1779232306.009764,0,1,14,0.00,0.00,747078.50,828093.38,154693.47,7467028.50,917419.75,6891742.50,33.00,33.00,33.00,33.00,33.00,33.00,56264906081
1779232306.137771,0,1,14,0.00,0.00,743917.62,826488.56,154050.28,7432149.50,915241.00,6860057.50,33.00,33.00,33.00,33.00,33.00,33.00,56392403818
1779232306.264939,0,1,14,0.00,0.00,744345.50,827797.31,153798.08,7428789.50,915475.69,6857474.00,33.00,33.00,33.00,33.00,33.00,33.00,56519828191
1779232306.393421,0,1,14,0.00,0.00,745149.62,828628.62,154271.16,7468725.50,918115.62,6895325.50,33.00,33.00,33.00,33.00,33.00,33.00,56647253988
1779232306.519353,0,1,14,0.00,0.00,745265.75,828170.81,154339.72,7466937.00,917213.38,6892710.00,33.00,33.00,33.00,33.00,33.00,33.00,56774680152
1779232306.646998,0,1,14,1.28,0.00,743942.44,826441.50,154318.56,7448728.50,915763.94,6876859.50,33.00,33.00,33.00,33.00,33.00,33.00,56902309766
1779232306.775318,0,1,14,48666.80,0.00,744969.94,828190.44,154375.27,7447682.50,916502.31,6874453.50,33.00,33.00,33.00,33.00,33.00,33.00,57029827278
