wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232996.463676,0,1,14,-130926030704607232.00,0.00,794139.06,884943.25,165660.80,8071106.00,982987.12,7451339.50,33.00,33.00,33.00,33.00,33.00,33.00,746718794308
1779232996.592880,0,1,14,-5618135826453357395968.00,0.00,794457.75,886785.31,165421.28,8084935.00,983641.56,7465977.00,33.00,33.00,33.00,33.00,33.00,33.00,746847750054
1779232996.721770,0,1,14,-240074007049160389514231808.00,0.00,794283.06,885508.88,166464.78,8103648.50,984079.56,7481401.50,33.00,33.00,33.00,33.00,33.00,33.00,746976613798
1779232996.852311,0,1,14,-9667072557853714952058086359040.00,0.00,793821.44,886153.00,165241.02,8092777.50,983975.38,7470604.50,33.00,33.00,33.00,33.00,33.00,33.00,747105421310
1779232996.978738,0,1,14,-424072305124913008864635703651205120.00,0.00,795196.38,885360.88,165903.69,8097273.50,984078.50,7474214.00,33.00,33.00,33.00,33.00,33.00,33.00,747234351298
1779232997.107913,0,1,14,0.00,0.00,795408.81,886150.06,165241.02,8039816.50,982591.62,7422384.50,33.00,33.00,33.00,33.00,33.00,33.00,747363017737
1779232997.236608,0,1,14,0.00,0.00,794552.06,883823.69,165890.98,8103929.50,985145.62,7482239.50,33.00,33.00,33.00,33.00,33.00,33.00,747491757377
1779232997.364866,0,1,14,0.00,0.00,793033.19,885641.25,165581.23,8082080.00,983559.62,7461775.00,33.00,33.00,33.00,33.00,33.00,33.00,747620465035
1779232997.493978,0,1,14,0.00,0.00,793748.94,885453.00,164856.80,8039010.50,981677.25,7421228.50,33.00,33.00,33.00,33.00,33.00,33.00,747748950646
1779232997.621866,0,1,14,0.00,0.00,794175.81,885923.56,165279.95,8064325.00,981759.19,7445920.50,33.00,33.00,33.00,33.00,33.00,33.00,747877740864
1779232997.751011,0,1,14,0.00,0.00,794255.25,884575.62,166042.48,8087760.00,983737.69,7465968.00,33.00,33.00,33.00,33.00,33.00,33.00,748006654780
1779232997.879347,0,1,14,0.00,0.00,792711.56,884288.38,165191.94,8057459.00,982940.62,7439048.00,33.00,33.00,33.00,33.00,33.00,33.00,748135384533
1779232998.007956,0,1,14,0.00,0.00,792748.25,884260.94,164316.00,8006382.50,980268.25,7392137.00,33.00,33.00,33.00,33.00,33.00,33.00,748264037340
1779232998.137001,0,1,14,1.37,0.00,793834.31,885454.00,165566.84,8079345.50,984736.00,7458745.00,33.00,33.00,33.00,33.00,33.00,33.00,748392752769
1779232998.265616,0,1,14,55634.25,0.00,794154.00,885485.38,165739.50,8085084.50,985676.69,7464549.50,33.00,33.00,33.00,33.00,33.00,33.00,748521345600
1779232998.394278,0,1,14,2308551424.00,0.00,795898.19,886851.94,166023.02,8136540.50,988800.12,7511521.00,33.00,33.00,33.00,33.00,33.00,33.00,748650338739
